Date,Close,Adj Close,Volume,Daily % Change,23 Day Vol (20 Trading Days in a 4 Week Period),Daily Drift,Monthly STD Cased on last Vol,Monthly Estimated Drift,Actual Drift,Difference,LT-STD Running,23 Day Momentum,Average Daily % Change,Momentum ROC,Momentum ROC Squared,Average ROC Momentum,
1/29/1993,43.9375,26.299288,1003200,,,,,,,,,,,,,,
2/1/1993,44.25,26.486324,480500,0.007112376,,,,,,,,,,,,,
2/2/1993,44.34375,26.542448,201300,0.002118644,,,,,,,,,,,,,
2/3/1993,44.8125,26.822998,529400,0.010570825,,,,,,,,,,,,,
2/4/1993,45,26.93524,531500,0.0041841,,,,,,,,,,,,,
2/5/1993,44.96875,26.916538,492100,-0.000694444,,,,,,,,,,,,,
2/8/1993,44.96875,26.916538,596100,0,,,,,,,,,,,,,
2/9/1993,44.65625,26.72949,122100,-0.00694927,,,,,,,,,,,,,
2/10/1993,44.71875,26.766899,379600,0.00139958,,,,,,,,,,,,,
2/11/1993,44.9375,26.897835,19500,0.004891684,,,,,,,,,,,,,
2/12/1993,44.59375,26.692072,42500,-0.007649513,,,,,,,,,,,,,
2/16/1993,43.46875,26.0187,374800,-0.025227751,,,,,,,,,,,,,
2/17/1993,43.4375,25.999992,210900,-0.000718907,,,,,,,,,,,,,
2/18/1993,43.40625,25.981276,378100,-0.000719424,,,,,,,,,,,,,
2/19/1993,43.5625,26.074812,34900,0.003599712,,,,,,,,,,,,,
2/22/1993,43.71875,26.168346,513600,0.003586801,,,,,,,,,,,,,
2/23/1993,43.6875,26.149637,373700,-0.000714796,,,,,,,,,,,,,
2/24/1993,44.25,26.486324,26300,0.012875536,,,,,,,,,,,,,
2/25/1993,44.34375,26.542448,44500,0.002118644,,,,,,,,,,,,,
2/26/1993,44.40625,26.579865,66200,0.001409443,,,,,,,,,,,,,
3/1/1993,44.28125,26.505026,66500,-0.002814919,,,,,,,,,,,,,
3/2/1993,44.9375,26.897835,182400,0.014820042,,,,,,,,,,,,,
3/3/1993,45.125,27.010061,280100,0.004172462,,,,,,,,,,,,,
3/4/1993,44.875,26.860428,89500,-0.005540166,0.008001428,0.000949159,0.035783472,0.019155331,0.021336699,,0.008001428,0.021337127,0.022060108,,,,
3/5/1993,44.75,26.785612,40000,-0.002785515,0.007920645,0.000518816,0.035422202,0.010427621,0.011299718,,0.007862595,0.011299435,0.012001115,-0.010037692,0.000100755,,
3/8/1993,45.75,27.384171,50800,0.022346369,0.009136089,0.001398282,0.040857832,0.028340267,0.031712335,,0.008821877,0.031712474,0.032660031,0.020413039,0.000416692,,
3/9/1993,45.59375,27.29064,169300,-0.003415301,0.008961607,0.00079019,0.040077525,0.015922997,0.017434367,,0.008700662,0.017433752,0.018333217,-0.014278722,0.000203882,,
3/10/1993,45.6875,27.346737,194400,0.002056203,0.008935924,0.000697673,0.039962666,0.014046321,0.015277272,,0.008532471,0.015277778,0.016170219,-0.002155974,4.64822E-06,,
3/11/1993,45.5625,27.271942,70900,-0.002735978,0.008960486,0.00060891,0.040072513,0.012248909,0.013203927,,0.008410842,0.013203614,0.014099141,-0.002074164,4.30216E-06,,
3/12/1993,45.09375,26.991364,643600,-0.010288066,0.009244552,0.000161603,0.041342893,0.003237027,0.002779927,,0.0085365,0.002779708,0.003723484,-0.010423905,0.000108658,,
3/15/1993,45.3125,27.122303,310800,0.004851005,0.009159025,0.000674658,0.040960403,0.013580001,0.014695866,,0.0084185,0.014695591,0.015632847,0.011915883,0.000141988,,
3/16/1993,45.3125,27.122303,30800,0,0.009158639,0.000613807,0.040958677,0.012347991,0.013277743,,0.0082792,0.013277428,0.014213295,-0.001418163,2.01119E-06,,
3/17/1993,45.03125,26.953955,21800,-0.006206897,0.009215207,0.00013126,0.041211657,0.002628479,0.002086413,,0.00824437,0.002086231,0.003023347,-0.011191197,0.000125243,,
3/18/1993,45.3125,27.122303,59300,0.006245663,0.009137066,0.000735398,0.040862203,0.014811174,0.016118307,,0.008169681,0.01611773,0.017051692,0.014031499,0.000196883,,
3/19/1993,45.03125,27.081253,66900,-0.006206897,0.007370309,0.001562392,0.032961022,0.031716018,0.040838051,,0.008138467,0.035945363,0.036559411,0.019827634,0.000393135,,
3/22/1993,44.78125,26.930897,183400,-0.0055517,0.007505944,0.00135227,0.033567603,0.027395685,0.035804049,,0.008088462,0.030935252,0.031569274,-0.005010111,2.51012E-05,,
3/23/1993,44.875,26.987293,55200,0.00209351,0.00749356,0.001474572,0.033512221,0.029908246,0.038720847,,0.007976089,0.033837293,0.034470989,0.002902041,8.42184E-06,,
3/24/1993,44.875,26.987293,37200,0,0.007484744,0.001318063,0.033472792,0.026693965,0.03499473,,0.007865185,0.030129125,0.03075906,-0.003708168,1.37505E-05,,
3/25/1993,45.15625,27.156414,110100,0.006267409,0.007542326,0.001434611,0.033730308,0.029086646,0.037758137,,0.007812439,0.032880629,0.03352202,0.002751504,7.57078E-06,,
3/26/1993,44.90625,27.006079,101500,-0.005536332,0.007670695,0.001224979,0.034304391,0.024786795,0.032751583,,0.007774402,0.027896996,0.028557437,-0.004983633,2.48366E-05,,
3/29/1993,45.09375,27.118855,87100,0.004175365,0.007274328,0.000846711,0.032531784,0.017071122,0.023881419,,0.007695006,0.019067797,0.019656805,-0.008829199,7.79548E-05,,
3/30/1993,45.21875,27.194014,56000,0.002772003,0.007280794,0.000875118,0.032560699,0.017648626,0.024548075,,0.007605241,0.019732206,0.020322651,0.000664409,4.4144E-07,,
3/31/1993,45.1875,27.175211,111600,-0.000691085,0.007286958,0.00078379,0.032588268,0.015793078,0.022398383,,0.00751512,0.017593244,0.018183456,-0.002138962,4.57516E-06,,
4/1/1993,45.03125,27.081253,129500,-0.003457815,0.007302606,0.000755838,0.032658247,0.015225804,0.021740292,,0.007452083,0.016937191,0.017529584,-0.000656053,4.30405E-07,,
4/2/1993,44.09375,26.517452,59400,-0.020818876,0.007936282,-0.00079368,0.035492131,-0.01575448,-0.01414177,,0.008041627,-0.018776078,-0.018096149,-0.035713269,0.001275438,,
4/5/1993,44.3125,26.649002,172200,0.004961021,0.007960378,-0.000759395,0.035599892,-0.015078824,-0.013367574,,0.007982511,-0.01800554,-0.017320952,0.000770538,5.93728E-07,,
4/6/1993,44.1875,26.573824,129700,-0.002820874,0.007906154,-0.000641165,0.035357395,-0.012745486,-0.01067012,,0.007906042,-0.015320334,-0.014643247,0.002685206,7.21033E-06,0.000136718,
4/7/1993,44.34375,26.667795,28000,0.003536068,0.007938037,-0.000366313,0.03549998,-0.007300826,-0.004398518,,0.007835181,-0.009078212,-0.008391343,0.006242122,3.89641E-05,0.000134032,
4/8/1993,44.28125,26.630207,180800,-0.001409443,0.006204687,-0.001399175,0.027748206,-0.027614636,-0.02753284,,0.007754973,-0.032103825,-0.031690538,-0.023025613,0.000530179,0.000138966,
4/12/1993,44.90625,27.006079,348500,0.014114326,0.006974638,-0.000637017,0.031191532,-0.012663533,-0.010427055,,0.007927326,-0.015078821,-0.014549181,0.017025004,0.000289851,0.000142704,
4/13/1993,45,27.062454,146100,0.002087683,0.006975194,-0.000635648,0.031194016,-0.012636488,-0.0103955,,0.007849328,-0.01504788,-0.014518139,3.09415E-05,9.57376E-10,0.000142502,
4/14/1993,44.9375,27.024878,119600,-0.001388889,0.0069624,-0.000577079,0.031136801,-0.011478528,-0.009059274,,0.007774978,-0.013717421,-0.013188906,0.001330458,1.77012E-06,0.000142392,
4/15/1993,44.9375,27.024878,148600,0,0.006632832,-0.000129772,0.029662928,-0.002592242,0.001241656,,0.007698652,-0.003465003,-0.002980498,0.010252418,0.000105112,0.000142237,
4/16/1993,44.9375,27.024878,47900,0,0.006543782,-0.000340685,0.029264682,-0.006791697,-0.003592062,,0.007624532,-0.008275862,-0.007806465,-0.004810859,2.31444E-05,0.00013707,
4/19/1993,44.75,26.912119,157000,-0.004172462,0.006591569,-0.000522097,0.029478394,-0.010390303,-0.007749489,,0.007578448,-0.012413793,-0.011939509,-0.004137931,1.71225E-05,0.000137727,
4/20/1993,44.53125,26.780556,279500,-0.004888268,0.00654545,-0.000464765,0.029272143,-0.009254372,-0.006433156,,0.007541324,-0.0111034,-0.010635121,0.001310393,1.71713E-06,0.000132357,
4/21/1993,44.5,26.76178,67900,-0.000701754,0.006379912,-0.000766827,0.028531832,-0.015225319,-0.013292492,,0.007473585,-0.017931034,-0.017489036,-0.006827634,4.66166E-05,0.000125823,
4/22/1993,43.9375,26.423485,97700,-0.012640449,0.006759038,-0.001046546,0.030227335,-0.020724126,-0.024288684,,0.007600942,-0.024288688,-0.023795482,-0.006357654,4.04198E-05,0.000110488,
4/23/1993,43.75,26.310705,106000,-0.004267425,0.006725349,-0.000990708,0.030076673,-0.019628782,-0.023029014,,0.007555059,-0.023028611,-0.022539682,0.001260077,1.58779E-06,0.000109466,
4/26/1993,43.40625,26.103985,62600,-0.007857143,0.006837056,-0.001423345,0.030576245,-0.02808525,-0.032730515,,0.007558375,-0.032729805,-0.032229456,-0.009701194,9.41132E-05,0.000113191,
4/27/1993,43.875,26.385897,156800,0.010799136,0.007294737,-0.000953818,0.032623054,-0.018904482,-0.022284414,,0.007626864,-0.022284123,-0.021709164,0.010445682,0.000109112,0.000117337,
4/28/1993,43.78125,26.329517,85900,-0.002136752,0.007125091,-0.001319216,0.031864377,-0.026056259,-0.030449418,,0.007568009,-0.030449827,-0.029905703,-0.008165704,6.66787E-05,0.000119907,
4/29/1993,43.96875,26.442284,85000,0.004282655,0.007155028,-0.000892303,0.031998259,-0.017695597,-0.020876596,,0.007525678,-0.020876827,-0.020322792,0.009573,9.16423E-05,0.000122812,
4/30/1993,44.03125,26.479858,88500,0.001421464,0.007089108,-0.001012038,0.031703455,-0.02004734,-0.023562831,,0.007466771,-0.023562024,-0.023019579,-0.002685197,7.21028E-06,0.000119736,
5/3/1993,44.3125,26.649002,80500,0.006387509,0.007215784,-0.000854842,0.032269968,-0.016958714,-0.020041617,,0.007449365,-0.020041465,-0.019477595,0.003520558,1.23943E-05,0.000120256,
5/4/1993,44.46875,26.742975,149100,0.003526093,0.007273484,-0.000671487,0.032528009,-0.01334441,-0.015905525,,0.00740272,-0.015905947,-0.015330655,0.004135518,1.71025E-05,0.0001208,
5/5/1993,44.59375,26.818151,109000,0.002810963,0.007281776,-0.000398931,0.032565092,-0.00794846,-0.009715282,,0.007352518,-0.009715475,-0.009135267,0.006190472,3.83219E-05,0.000122448,
5/6/1993,44.4375,26.724173,54700,-0.003503854,0.005823795,0.000353896,0.026044803,0.007101762,0.007795658,,0.007311013,0.007795889,0.008171367,0.017511365,0.000306648,8.03266E-05,
5/7/1993,44.34375,26.667795,68000,-0.002109705,0.005755768,4.64729E-05,0.025740575,0.000929869,0.000705205,,0.00726163,0.000705219,0.001069424,-0.007090671,5.02776E-05,8.24868E-05,
5/10/1993,44.4375,26.724173,113900,0.002114165,0.00573597,0.00026104,0.025652037,0.005233764,0.005657786,,0.00721187,0.005657709,0.006021188,0.00495249,2.45272E-05,8.32397E-05,
5/11/1993,44.625,26.836931,42600,0.004219409,0.005755441,0.00029075,0.025739116,0.005831097,0.006342332,,0.007175602,0.006342495,0.006708689,0.000684786,4.68932E-07,8.1566E-05,
5/12/1993,44.5625,26.79936,31000,-0.00140056,0.005755322,0.000291137,0.025738584,0.005838864,0.006351922,,0.007126847,0.006351447,0.006717629,8.952E-06,8.01384E-11,5.85148E-05,
5/13/1993,44.03125,26.479858,129100,-0.011921459,0.005466081,-0.000840854,0.024445055,-0.01668342,-0.01948528,,0.00721979,-0.019485038,-0.019161812,-0.025836485,0.000667524,7.49353E-05,
5/14/1993,44,26.461075,63500,-0.000709723,0.005428952,-0.00096248,0.024279012,-0.019074611,-0.022221895,,0.007170036,-0.022222222,-0.02190425,-0.002737184,7.49218E-06,7.5261E-05,
5/17/1993,44.15625,26.555033,34000,0.003551136,0.005508453,-0.000747697,0.024634553,-0.01484819,-0.017385647,,0.007132413,-0.017385257,-0.017056322,0.004836965,2.33962E-05,7.62013E-05,
5/18/1993,44.125,26.536251,105200,-0.000707714,0.005506063,-0.000778467,0.024623863,-0.015454732,-0.018080637,,0.007084659,-0.018080668,-0.01775225,-0.00069541,4.83595E-07,7.16522E-05,
5/19/1993,45.03125,27.081253,50200,0.020538244,0.007078855,0.0001145,0.031657604,0.002292497,0.002086041,,0.007418181,0.002086231,0.002636825,0.020166898,0.000406704,8.83287E-05,
5/20/1993,45.15625,27.156414,98200,0.00277585,0.00703572,0.000416601,0.031464697,0.008365073,0.009077509,,0.007374396,0.009078212,0.009625855,0.006991981,4.88878E-05,8.97098E-05,
5/21/1993,44.75,26.912119,221400,-0.00899654,0.007226094,0.00023798,0.032316076,0.004770381,0.004912631,,0.007402917,0.004912281,0.005487898,-0.004165932,1.7355E-05,9.03897E-05,
5/24/1993,44.9375,27.024878,30500,0.004189944,0.007269038,0.000450663,0.032508128,0.009051949,0.00983111,,0.007368573,0.009831461,0.01041679,0.00491918,2.41983E-05,8.9415E-05,
5/25/1993,45.03125,27.081253,191800,0.002086231,0.006688949,0.001090953,0.029913887,0.022046686,0.02489331,,0.007324476,0.024893314,0.025395352,0.015061854,0.000226859,9.75211E-05,
5/26/1993,45.59375,27.419529,102400,0.012491325,0.006984951,0.001819595,0.03123765,0.037027888,0.042143455,,0.007402842,0.042142857,0.042699106,0.017249543,0.000297547,0.000110389,
5/27/1993,45.4375,27.325569,53800,-0.003427005,0.006763552,0.002012209,0.030247526,0.041022861,0.04679684,,0.00736967,0.046796256,0.047319782,0.004653399,2.16541E-05,0.000107238,
5/28/1993,45.21875,27.194014,79100,-0.004814305,0.006623636,0.001333364,0.029621801,0.027007791,0.030626853,,0.007347234,0.030626781,0.031121397,-0.016169476,0.000261452,0.000113862,
6/1/1993,45.65625,27.457119,28300,0.00967519,0.006797976,0.001846927,0.030401471,0.037593889,0.042826536,,0.007373031,0.042826552,0.043353593,0.012199772,0.000148834,0.000117434,
6/2/1993,45.59375,27.419529,20300,-0.001368925,0.006808065,0.001601206,0.030446594,0.032515961,0.036957662,,0.007331767,0.036958067,0.037483719,-0.005868486,3.44391E-05,0.000114947,
6/3/1993,45.4375,27.325569,21600,-0.003427005,0.006888472,0.001390403,0.030806185,0.02817845,0.031937898,,0.007300566,0.031937544,0.032473163,-0.005020522,2.52056E-05,0.000115729,
6/4/1993,45.28125,27.231596,32000,-0.00343879,0.006869151,0.000963172,0.030719776,0.019440735,0.021861757,,0.007269758,0.021861777,0.022389264,-0.010075767,0.000101521,0.000119604,
6/7/1993,45.125,27.137621,121400,-0.003450656,0.006904781,0.000659836,0.03087912,0.013279762,0.014756997,,0.007239338,0.014757554,0.01528688,-0.007104223,5.047E-05,0.000121055,
6/8/1993,44.71875,26.893314,104500,-0.00900277,0.007171733,0.000146195,0.032072966,0.002927964,0.002802691,,0.007265736,0.002803083,0.003367897,-0.011954471,0.000142909,0.000125602,
6/9/1993,44.875,26.987293,43300,0.00349406,0.007158272,0.000450452,0.032012765,0.009047699,0.009845768,,0.007233019,0.009845288,0.010411896,0.007042205,4.95927E-05,0.000114426,
6/10/1993,44.90625,27.006079,17900,0.000696379,0.007136534,0.000572456,0.03191555,0.011511593,0.012685113,,0.007192868,0.012684989,0.013249725,0.002839701,8.0639E-06,0.000112591,
6/11/1993,45.09375,27.118855,647400,0.004175365,0.007169639,0.000662073,0.032063601,0.01332508,0.014768726,,0.007164844,0.014767932,0.015339099,0.002082943,4.33865E-06,0.000111713,
6/14/1993,45.03125,27.081253,64200,-0.001386001,0.007138423,0.00041836,0.031923998,0.008400531,0.009103947,,0.007127963,0.009103641,0.009666683,-0.005664291,3.20842E-05,0.000113087,
6/15/1993,44.9375,27.024878,142400,-0.002081888,0.007147722,0.000388737,0.031965583,0.007803514,0.008415052,,0.007093755,0.008415147,0.008979281,-0.000688494,4.74024E-07,0.000113108,
6/16/1993,45.03125,27.081253,330900,0.002086231,0.006629095,0.000997767,0.029646215,0.020145624,0.022711413,,0.007058397,0.022711143,0.023202273,0.014295995,0.000204375,9.29712E-05,
6/17/1993,45.1875,27.175211,37400,0.003469813,0.006637441,0.001179486,0.029683541,0.023855918,0.02698817,,0.007028676,0.026988636,0.027483063,0.004277494,1.8297E-05,9.3441E-05,
6/18/1993,44.5,26.95145,58500,-0.015214385,0.007437764,0.000363593,0.033262693,0.007297042,0.014928131,,0.007167596,0.007784855,0.008396181,-0.019203781,0.000368785,0.000108458,
6/21/1993,44.59375,27.008213,29300,0.002106742,0.007442488,0.000485961,0.03328382,0.009764223,0.017785557,,0.007133274,0.010623229,0.011237056,0.002838375,8.05637E-06,0.000108787,
6/22/1993,44.625,27.027128,137500,0.000700771,0.006028102,-0.000376538,0.026958491,-0.007503877,-0.001998615,,0.007096983,-0.009021513,-0.008624592,-0.019644742,0.000385916,0.000107883,
6/23/1993,44.21875,26.781092,227600,-0.009103641,0.006250546,-0.000893037,0.027953293,-0.017710028,-0.01382075,,0.007121839,-0.020761246,-0.020339344,-0.011739733,0.000137821,0.00011175,
6/24/1993,44.8125,27.140688,243700,0.013427562,0.006664272,8.19236E-05,0.02980353,0.001639747,0.008493163,,0.007209366,0.001396648,0.001885941,0.022157894,0.000490972,0.000132342,
6/25/1993,44.78125,27.121758,44800,-0.00069735,0.006604986,-0.000130567,0.029538394,-0.002608113,0.003584845,,0.007174164,-0.003477051,-0.002998743,-0.0048737,2.37529E-05,0.000132323,
6/28/1993,45.28125,27.424593,439900,0.011165387,0.00700282,0.000264178,0.031317564,0.00529685,0.012678143,,0.007220032,0.0055517,0.006093794,0.009028752,8.15184E-05,0.000126004,
6/29/1993,45.0625,27.292105,207500,-0.004830918,0.006544531,-0.000488963,0.029268034,-0.009733958,-0.004647199,,0.007202618,-0.011651816,-0.011185857,-0.017203517,0.000295961,0.000125935,
6/30/1993,45.0625,27.292105,437600,0,0.006513538,-0.000339962,0.029129429,-0.006777333,-0.001224641,,0.007167954,-0.008253095,-0.007789963,0.003398721,1.15513E-05,0.000125495,
7/1/1993,44.9375,27.2164,605700,-0.002773925,0.006463532,-0.00025125,0.028905794,-0.005013028,0.000823196,,0.007139848,-0.006219765,-0.005762811,0.00203333,4.13443E-06,0.000114308,
