Date,Close
3/1/2006,4.616
3/2/2006,4.599
3/3/2006,4.612
3/6/2006,4.61
3/7/2006,4.606
3/8/2006,4.597
3/9/2006,4.574
3/10/2006,4.604
3/13/2006,4.61
3/14/2006,4.606
3/15/2006,4.603
3/16/2006,4.602
3/17/2006,4.627
3/20/2006,4.631
3/21/2006,4.686
3/22/2006,4.696
3/23/2006,4.688
3/24/2006,4.674
3/27/2006,4.62
3/28/2006,4.637
3/29/2006,4.613
3/30/2006,4.628
3/31/2006,4.648
4/3/2006,4.639
4/4/2006,4.671
4/5/2006,4.678
4/6/2006,4.682
4/7/2006,4.684
4/10/2006,4.672
4/11/2006,4.697
4/12/2006,4.722
4/13/2006,4.698
4/14/2006,4.703
4/17/2006,4.706
4/18/2006,4.73
4/19/2006,4.727
4/20/2006,4.716
4/21/2006,4.744
4/24/2006,4.747
4/25/2006,4.777
4/26/2006,4.784
4/27/2006,4.776
4/28/2006,4.773
5/1/2006,4.768
5/2/2006,4.793
5/3/2006,4.831
5/4/2006,4.802
5/5/2006,4.819
5/8/2006,4.823
5/9/2006,4.886
5/10/2006,4.867
5/11/2006,4.843
5/12/2006,4.804
5/15/2006,4.83
5/16/2006,4.834
5/17/2006,4.836
5/18/2006,4.828
5/19/2006,4.822
5/22/2006,4.812
5/23/2006,4.837
5/24/2006,4.831
5/25/2006,4.83
5/26/2006,4.843
5/29/2006,4.838
5/30/2006,4.84
5/31/2006,4.813
6/1/2006,4.848
6/2/2006,4.804
6/5/2006,4.823
6/6/2006,4.852
6/7/2006,4.883
6/8/2006,4.854
6/9/2006,4.871
6/12/2006,4.906
6/13/2006,4.907
6/14/2006,4.912
6/15/2006,4.846
6/16/2006,4.866
6/19/2006,4.926
6/20/2006,4.912
6/21/2006,4.94
6/22/2006,4.921
6/23/2006,4.965
6/26/2006,4.996
6/27/2006,5.045
6/28/2006,5.031
6/29/2006,5.007
6/30/2006,5.017
7/3/2006,5.028
7/4/2006,5.015
7/5/2006,5.057
7/6/2006,5.002
7/7/2006,5.022
7/10/2006,5.02
7/11/2006,5.071
7/12/2006,5.08
7/13/2006,5.061
7/14/2006,5.053
7/17/2006,5.082
7/18/2006,5.141
7/19/2006,5.153
7/20/2006,5.103
7/21/2006,5.076
7/24/2006,5.103
7/25/2006,5.131
7/26/2006,5.135
7/27/2006,5.101
7/28/2006,5.063
7/31/2006,5.082
8/1/2006,5.136
8/2/2006,5.112
8/3/2006,5.114
8/4/2006,5.079
8/7/2006,5.111
8/8/2006,5.136
8/9/2006,5.091
8/10/2006,5.072
8/11/2006,5.069
8/14/2006,5.098
8/15/2006,5.102
8/16/2006,5.073
8/17/2006,5.093
8/18/2006,5.108
8/21/2006,5.1
8/22/2006,5.095
8/23/2006,5.118
8/24/2006,5.093
8/25/2006,5.095
8/28/2006,5.101
8/29/2006,5.097
8/30/2006,5.052
8/31/2006,5.049
9/1/2006,5.022
9/4/2006,5.019
9/5/2006,4.988
9/6/2006,4.979
9/7/2006,4.96
9/8/2006,4.926
9/11/2006,4.955
9/12/2006,4.915
9/13/2006,4.906
9/14/2006,4.916
9/15/2006,4.923
9/18/2006,4.934
9/19/2006,4.949
9/20/2006,4.935
9/21/2006,4.945
9/22/2006,4.931
